,score,avg_moves,num_positivs,reward
8156,180,37,1,1016.0
8157,600,79,1,8160.0
8158,840,91,1,10213.0
8159,1000,87,1,11886.0
8160,1500,118,1,19314.0
8161,660,81,1,8739.0
8162,320,62,1,3274.0
8163,740,76,1,8513.0
8164,440,68,1,5327.0
8165,240,54,1,1556.0
8166,840,90,1,11912.0
8167,660,81,1,8652.0
8168,660,83,1,8225.0
8169,440,69,1,4958.0
8170,180,48,1,95.0
8171,920,98,1,12547.0
8172,920,83,1,10333.0
8173,420,66,1,4249.0
8174,280,60,1,2432.0
8175,580,76,1,7415.0
8176,980,100,1,13308.0
8177,500,71,1,5743.0
8178,520,75,1,6559.0
8179,760,81,1,8783.0
8180,540,72,1,6341.0
8181,340,61,1,3207.0
8182,560,73,1,7790.0
8183,600,76,1,7134.0
8184,440,68,1,4502.0
8185,460,69,1,5804.0
8186,380,59,1,2867.0
8187,640,81,1,7941.0
8188,480,69,1,6067.0
8189,1280,94,1,14079.0
8190,1160,110,1,14960.0
8191,120,35,1,1280.0
8192,440,67,1,5414.0
8193,480,58,1,4952.0
8194,240,53,1,1868.0
8195,680,84,1,9263.0
8196,800,85,1,9104.0
8197,460,68,1,5394.0
8198,440,68,1,4293.0
8199,500,68,1,5014.0
8200,380,63,1,3464.0
8201,700,79,1,9384.0
8202,620,78,1,7205.0
8203,580,76,1,6736.0
8204,300,59,1,2453.0
8205,920,86,1,11154.0
8206,480,71,1,5555.0
8207,1880,91,1,11186.0
8208,300,55,1,2478.0
8209,320,59,1,3208.0
8210,480,69,1,5175.0
8211,580,74,1,6062.0
8212,1460,118,1,19454.0
8213,1120,111,1,15802.0
8214,1240,103,1,14478.0
8215,480,70,1,6212.0
8216,540,74,1,6485.0
8217,920,87,1,11363.0
8218,520,70,1,5822.0
8219,460,61,1,4124.0
8220,720,82,1,9155.0
8221,540,73,1,6100.0
8222,460,69,1,5720.0
8223,560,73,1,6711.0
8224,560,55,1,6079.0
8225,720,83,1,9117.0
8226,1040,90,1,11676.0
8227,1720,83,1,10281.0
8228,540,73,1,6498.0
8229,1220,105,1,15513.0
