,score,avg_moves,num_positivs,reward
9501,660,77,1,6892.0
9502,700,82,1,8872.0
9503,1180,101,1,14098.0
9504,540,69,1,4999.0
9505,840,87,1,10156.0
9506,620,80,1,7535.0
9507,340,60,1,2649.0
9508,200,53,1,1610.0
9509,700,70,1,7930.0
9510,840,91,1,11935.0
9511,480,69,1,5071.0
9512,700,79,1,7956.0
9513,820,87,1,10014.0
9514,720,81,1,8760.0
9515,1100,105,1,13879.0
9516,900,79,1,10543.0
9517,840,90,1,11086.0
9518,700,84,1,9482.0
9519,320,55,1,3372.0
9520,380,64,1,4021.0
9521,480,73,1,6039.0
9522,320,62,1,3089.0
9523,340,61,1,3452.0
9524,1060,91,1,11922.0
9525,880,94,1,11467.0
9526,880,91,1,10563.0
9527,740,83,1,8592.0
9528,800,89,1,10492.0
9529,1100,99,1,13559.0
9530,600,75,1,6449.0
9531,840,92,1,10997.0
9532,240,57,1,2074.0
9533,620,76,1,7205.0
9534,460,67,1,5042.0
9535,840,87,1,9407.0
9536,380,62,1,4020.0
9537,520,70,1,5485.0
9538,420,66,1,4680.0
9539,1320,119,1,17832.0
9540,240,58,1,2007.0
9541,480,64,1,4648.0
9542,640,77,1,7358.0
9543,380,65,1,3785.0
9544,520,71,1,6721.0
9545,480,69,1,4911.0
9546,540,73,1,5859.0
9547,740,71,1,7023.0
9548,980,87,1,11633.0
9549,400,62,1,3875.0
9550,400,64,1,4188.0
9551,740,84,1,9158.0
9552,640,80,1,7764.0
9553,500,70,1,5890.0
9554,820,93,1,11513.0
9555,420,64,1,4492.0
9556,320,62,1,3823.0
9557,1580,74,1,6692.0
9558,820,80,1,7647.0
9559,1040,94,1,13067.0
9560,900,86,1,11576.0
9561,680,84,1,9087.0
9562,600,63,1,5775.0
9563,740,85,1,8866.0
9564,600,78,1,7510.0
9565,280,58,1,1114.0
9566,860,92,1,10690.0
9567,400,61,1,3249.0
9568,1100,96,1,13781.0
9569,260,55,1,2103.0
9570,620,70,1,6458.0
9571,1240,103,1,14790.0
9572,540,71,1,5728.0
9573,460,69,1,5463.0
9574,520,74,1,5788.0
9575,1200,103,1,15864.0
9576,800,89,1,10549.0
9577,380,57,1,4399.0
9578,740,84,1,9481.0
9579,520,73,1,6305.0
9580,980,102,1,14194.0
9581,620,78,1,7720.0
9582,720,87,1,9972.0
9583,600,79,1,7668.0
9584,460,70,1,5317.0
9585,1000,105,1,14936.0
9586,320,62,1,3054.0
9587,440,67,1,4060.0
9588,420,67,1,4306.0
9589,700,81,1,8061.0
9590,280,59,1,2963.0
9591,360,62,1,3491.0
9592,1060,104,1,14087.0
9593,680,83,1,9076.0
9594,280,60,1,3157.0
9595,660,81,1,8202.0
9596,580,74,1,6329.0
9597,200,51,1,1582.0
9598,380,63,1,3728.0
9599,540,72,1,6028.0
9600,440,69,1,5865.0
9601,1160,102,1,14608.0
9602,780,87,1,10215.0
9603,400,62,1,3547.0
9604,560,71,1,7517.0
9605,1200,103,1,14820.0
9606,160,51,1,491.0
9607,560,72,1,6754.0
9608,380,62,1,3611.0
9609,180,48,1,75.0
9610,500,72,1,5856.0
9611,640,77,1,7926.0
9612,480,70,1,5910.0
9613,440,69,1,5993.0
9614,380,61,1,4071.0
9615,780,89,1,9756.0
9616,860,92,1,11209.0
9617,520,73,1,6212.0
9618,620,77,1,7027.0
9619,460,69,1,4954.0
9620,820,91,1,11217.0
9621,760,86,1,9298.0
