,avg_moves,num_pos_games,reward,x
114,27.17391304347826,0.7976,-2.9168,115.0
115,27.47252747252747,0.8088,-5.3688,116.0
116,29.41176470588235,0.7748,-5.7052,117.0
117,30.864197530864196,0.8684,8.096,118.0
118,29.41176470588235,0.856,3.1348,119.0
119,31.25,0.9356,12.2156,120.0
120,31.25,0.8984,7.9364,121.0
121,32.89473684210526,0.8876,9.9328,122.0
122,34.72222222222222,0.9308,16.2092,123.0
123,36.231884057971016,0.9064,18.0732,124.0
124,36.76470588235294,0.9108,16.3668,125.0
125,37.3134328358209,0.924,18.1324,126.0
126,37.878787878787875,0.9548,22.6124,127.0
127,39.0625,0.9248,19.9444,128.0
128,40.32258064516129,0.9484,23.444,129.0
129,40.98360655737705,0.9572,26.502,130.0
130,40.32258064516129,0.9216,25.8404,131.0
131,40.98360655737705,0.9644,22.9728,132.0
132,45.45454545454545,0.9696,30.8404,133.0
133,43.10344827586207,0.944,34.4904,134.0
134,43.85964912280702,0.9576,26.3504,135.0
135,45.45454545454545,0.956,38.82,136.0
136,45.45454545454545,0.9596,30.7676,137.0
137,43.10344827586207,0.9396,23.0028,138.0
138,46.2962962962963,0.9844,31.1224,139.0
139,44.642857142857146,0.9868,29.6364,140.0
140,46.2962962962963,0.9708,32.7952,141.0
141,45.45454545454545,0.972,34.9648,142.0
142,46.2962962962963,0.9448,29.9788,143.0
143,49.01960784313726,0.9712,45.8928,144.0
144,48.07692307692308,1.0,42.5632,145.0
145,48.07692307692308,0.9896,47.5192,146.0
146,44.642857142857146,0.9772,29.652,147.0
147,46.2962962962963,1.0,42.9832,148.0
148,44.642857142857146,0.9816,35.1992,149.0
149,48.07692307692308,0.9868,45.6428,150.0
150,48.07692307692308,0.9828,44.3896,151.0
151,45.45454545454545,0.9708,31.1976,152.0
152,47.16981132075472,0.9452,47.762,153.0
153,47.16981132075472,1.0,45.1012,154.0
154,50.0,0.984,57.8216,155.0
155,48.07692307692308,0.9728,45.5052,156.0
156,49.01960784313726,0.9844,52.6632,157.0
157,51.02040816326531,0.984,55.4564,158.0
158,47.16981132075472,0.9492,47.2656,159.0
159,51.02040816326531,1.0,57.772,160.0
160,49.01960784313726,0.9844,52.2664,161.0
161,52.083333333333336,0.97,57.5624,162.0
162,51.02040816326531,0.9912,53.2368,163.0
163,49.01960784313726,0.9948,51.1356,164.0
164,50.0,0.9708,49.2148,165.0
165,50.0,0.9868,55.1824,166.0
166,54.34782608695652,1.0,71.6872,167.0
167,52.083333333333336,1.0,59.1132,168.0
168,52.083333333333336,0.9968,63.5916,169.0
169,51.02040816326531,0.9852,56.518,170.0
170,51.02040816326531,0.986,61.662,171.0
171,51.02040816326531,0.9752,57.5612,172.0
172,50.0,1.0,57.9096,173.0
173,54.34782608695652,1.0,66.0056,174.0
174,51.02040816326531,0.9764,57.5348,175.0
175,55.55555555555556,1.0,75.556,176.0
176,53.191489361702125,1.0,70.1824,177.0
177,53.191489361702125,1.0,68.692,178.0
178,53.191489361702125,1.0,70.5696,179.0
179,53.191489361702125,1.0,68.6524,180.0
180,54.34782608695652,0.9992,73.6904,181.0
181,53.191489361702125,0.988,70.0628,182.0
182,56.81818181818182,1.0,80.68,183.0
183,53.191489361702125,0.9992,73.4984,184.0
184,54.34782608695652,0.9892,69.4976,185.0
185,55.55555555555556,0.9888,75.9456,186.0
186,54.34782608695652,0.9988,76.3684,187.0
187,54.34782608695652,0.9864,67.682,188.0
188,55.55555555555556,0.9876,78.7752,189.0
189,56.81818181818182,1.0,82.9756,190.0
190,54.34782608695652,0.984,73.1128,191.0
191,55.55555555555556,0.9872,75.2728,192.0
192,55.55555555555556,0.9848,78.7544,193.0
193,52.083333333333336,0.9676,69.728,194.0
194,53.191489361702125,0.9868,67.4288,195.0
195,55.55555555555556,0.9884,81.226,196.0
196,56.81818181818182,0.996,81.4004,197.0
197,56.81818181818182,1.0,78.3024,198.0
198,58.13953488372093,1.0,88.0776,199.0
199,58.13953488372093,1.0,86.9416,200.0
200,56.81818181818182,1.0,83.8224,201.0
201,56.81818181818182,0.9836,80.2016,202.0
202,58.13953488372093,1.0,87.9716,203.0
203,56.81818181818182,1.0,81.5556,204.0
204,58.13953488372093,0.9992,92.3296,205.0
205,58.13953488372093,0.9976,86.1368,206.0
206,58.13953488372093,1.0,86.8148,207.0
207,58.13953488372093,1.0,87.026,208.0
208,58.13953488372093,1.0,90.1152,209.0
209,58.13953488372093,0.9852,87.452,210.0
210,59.523809523809526,1.0,90.2656,211.0
211,58.13953488372093,1.0,90.9912,212.0
212,58.13953488372093,1.0,84.7352,213.0
213,60.97560975609756,1.0,96.1304,214.0
214,58.13953488372093,1.0,85.5568,215.0
215,59.523809523809526,0.9864,92.196,216.0
216,60.97560975609756,1.0,92.6944,217.0
217,60.97560975609756,1.0,95.3468,218.0
218,56.81818181818182,1.0,79.1748,219.0
219,59.523809523809526,1.0,92.6752,220.0
220,59.523809523809526,0.9848,89.4992,221.0
221,58.13953488372093,0.9872,83.5164,222.0
222,60.97560975609756,1.0,98.9204,223.0
223,60.97560975609756,0.9852,100.13,224.0
224,59.523809523809526,1.0,90.178,225.0
225,65.78947368421052,1.0,109.9216,226.0
226,58.13953488372093,1.0,86.0216,227.0
227,60.97560975609756,1.0,94.726,228.0
228,60.97560975609756,1.0,100.6204,229.0
229,62.5,1.0,101.074,230.0
230,58.13953488372093,1.0,89.1268,231.0
231,59.523809523809526,1.0,90.1648,232.0
232,62.5,1.0,100.2632,233.0
233,59.523809523809526,0.9836,96.1196,234.0
234,62.5,1.0,99.2552,235.0
235,64.1025641025641,1.0,105.2456,236.0
236,62.5,1.0,98.3824,237.0
237,62.5,1.0,96.8628,238.0
238,59.523809523809526,0.996,94.4668,239.0
239,60.97560975609756,1.0,95.1868,240.0
240,65.78947368421052,1.0,107.7808,241.0
241,60.97560975609756,1.0,99.9136,242.0
242,59.523809523809526,0.9988,96.1436,243.0
243,64.1025641025641,0.9988,103.4256,244.0
244,65.78947368421052,1.0,104.24,245.0
245,59.523809523809526,1.0,94.0264,246.0
246,62.5,1.0,103.8308,247.0
247,62.5,1.0,99.4672,248.0
248,60.97560975609756,0.9988,102.7816,249.0
249,64.1025641025641,1.0,102.026,250.0
250,60.97560975609756,1.0,102.2092,251.0
251,62.5,1.0,101.5336,252.0
252,64.1025641025641,1.0,106.6612,253.0
253,58.13953488372093,1.0,90.2428,254.0
254,60.97560975609756,0.9996,99.8084,255.0
255,64.1025641025641,1.0,105.2336,256.0
256,65.78947368421052,1.0,111.9536,257.0
257,60.97560975609756,0.9976,99.8752,258.0
258,65.78947368421052,1.0,105.3052,259.0
259,62.5,0.9984,104.4872,260.0
260,62.5,1.0,98.2496,261.0
261,60.97560975609756,1.0,101.4192,262.0
262,64.1025641025641,1.0,107.2008,263.0
263,64.1025641025641,1.0,110.5452,264.0
264,67.56756756756756,1.0,118.6528,265.0
265,65.78947368421052,1.0,111.4524,266.0
266,59.523809523809526,1.0,97.1656,267.0
267,64.1025641025641,1.0,111.9804,268.0
268,59.523809523809526,0.9852,94.276,269.0
269,60.97560975609756,1.0,104.5124,270.0
270,60.97560975609756,0.9872,99.524,271.0
271,64.1025641025641,0.9792,109.9952,272.0
272,62.5,1.0,104.0152,273.0
273,65.78947368421052,1.0,113.3372,274.0
274,64.1025641025641,1.0,105.5156,275.0
275,64.1025641025641,1.0,108.732,276.0
276,64.1025641025641,1.0,101.9956,277.0
277,64.1025641025641,1.0,106.8128,278.0
278,64.1025641025641,1.0,106.576,279.0
279,64.1025641025641,1.0,110.8144,280.0
280,62.5,1.0,100.2748,281.0
281,65.78947368421052,1.0,114.1096,282.0
282,64.1025641025641,1.0,105.5988,283.0
283,64.1025641025641,1.0,105.6972,284.0
284,64.1025641025641,1.0,108.018,285.0
285,67.56756756756756,1.0,113.6988,286.0
286,62.5,1.0,98.802,287.0
287,65.78947368421052,1.0,109.6012,288.0
288,62.5,1.0,106.0412,289.0
289,64.1025641025641,0.9852,102.5792,290.0
290,64.1025641025641,1.0,110.7508,291.0
291,65.78947368421052,0.9988,115.7064,292.0
292,64.1025641025641,1.0,109.4428,293.0
293,67.56756756756756,1.0,117.0496,294.0
294,62.5,1.0,101.9556,295.0
295,59.523809523809526,1.0,91.866,296.0
296,64.1025641025641,1.0,104.3952,297.0
297,62.5,1.0,103.6152,298.0
298,62.5,0.9848,103.7712,299.0
299,64.1025641025641,1.0,106.3972,300.0
300,64.1025641025641,1.0,111.7696,301.0
301,65.78947368421052,1.0,110.5184,302.0
302,60.97560975609756,1.0,96.4164,303.0
303,65.78947368421052,1.0,107.312,304.0
304,62.5,1.0,104.4268,305.0
305,64.1025641025641,1.0,109.1044,306.0
306,65.78947368421052,1.0,110.258,307.0
307,64.1025641025641,1.0,108.1916,308.0
308,62.5,1.0,101.0736,309.0
309,62.5,0.9972,104.3716,310.0
310,67.56756756756756,1.0,115.1956,311.0
311,60.97560975609756,1.0,97.6212,312.0
312,62.5,0.9988,103.3248,313.0
313,67.56756756756756,1.0,116.5856,314.0
314,67.56756756756756,1.0,117.0228,315.0
315,64.1025641025641,1.0,101.4428,316.0
316,65.78947368421052,1.0,113.1284,317.0
317,65.78947368421052,1.0,115.1652,318.0
318,64.1025641025641,1.0,106.018,319.0
319,62.5,1.0,104.7424,320.0
320,64.1025641025641,1.0,106.9596,321.0
321,65.78947368421052,1.0,113.5184,322.0
322,64.1025641025641,1.0,107.686,323.0
323,69.44444444444444,1.0,124.0548,324.0
324,59.523809523809526,1.0,93.1472,325.0
325,67.56756756756756,1.0,112.8448,326.0
326,64.1025641025641,1.0,112.4988,327.0
327,67.56756756756756,1.0,118.348,328.0
328,64.1025641025641,1.0,111.6612,329.0
329,67.56756756756756,1.0,115.716,330.0
330,60.97560975609756,1.0,99.212,331.0
331,64.1025641025641,1.0,104.272,332.0
332,64.1025641025641,0.988,108.6612,333.0
333,65.78947368421052,1.0,111.844,334.0
334,65.78947368421052,1.0,115.1916,335.0
335,65.78947368421052,1.0,114.5592,336.0
336,65.78947368421052,1.0,112.1448,337.0
337,64.1025641025641,1.0,110.2988,338.0
338,64.1025641025641,1.0,103.9412,339.0
339,65.78947368421052,0.9984,116.1624,340.0
340,65.78947368421052,0.9968,109.0744,341.0
341,65.78947368421052,1.0,110.4344,342.0
342,64.1025641025641,0.9996,109.8568,343.0
343,65.78947368421052,1.0,108.678,344.0
344,64.1025641025641,1.0,107.1816,345.0
345,65.78947368421052,1.0,110.4616,346.0
346,65.78947368421052,0.9848,112.8844,347.0
347,69.44444444444444,1.0,115.1536,348.0
348,67.56756756756756,0.9852,122.9024,349.0
349,67.56756756756756,1.0,116.9904,350.0
350,67.56756756756756,1.0,111.7208,351.0
351,65.78947368421052,1.0,107.0184,352.0
352,64.1025641025641,1.0,112.4092,353.0
353,71.42857142857143,1.0,123.2812,354.0
354,65.78947368421052,1.0,112.4208,355.0
355,65.78947368421052,1.0,112.5748,356.0
356,65.78947368421052,0.9896,115.1472,357.0
357,67.56756756756756,1.0,115.1264,358.0
358,65.78947368421052,1.0,113.1076,359.0
359,67.56756756756756,1.0,117.3332,360.0
360,62.5,0.9912,105.09,361.0
361,69.44444444444444,1.0,120.1532,362.0
362,67.56756756756756,0.9856,114.7032,363.0
363,65.78947368421052,1.0,111.798,364.0
364,62.5,1.0,101.5116,365.0
365,64.1025641025641,1.0,107.1272,366.0
366,65.78947368421052,0.996,114.304,367.0
367,64.1025641025641,1.0,101.5232,368.0
368,67.56756756756756,1.0,119.2504,369.0
369,65.78947368421052,1.0,113.0984,370.0
370,65.78947368421052,1.0,107.8448,371.0
371,65.78947368421052,1.0,116.7476,372.0
372,69.44444444444444,1.0,115.2976,373.0
373,64.1025641025641,0.9996,112.1036,374.0
374,65.78947368421052,1.0,112.2092,375.0
375,65.78947368421052,1.0,110.1324,376.0
376,65.78947368421052,1.0,115.6928,377.0
377,69.44444444444444,1.0,118.9584,378.0
378,67.56756756756756,1.0,117.6368,379.0
379,67.56756756756756,1.0,109.4984,380.0
380,69.44444444444444,1.0,121.4524,381.0
381,64.1025641025641,0.9844,103.496,382.0
382,65.78947368421052,0.9968,110.998,383.0
383,67.56756756756756,0.9996,117.0856,384.0
384,62.5,0.9828,94.5712,385.0
385,64.1025641025641,0.9984,108.2728,386.0
386,69.44444444444444,1.0,120.4736,387.0
387,64.1025641025641,1.0,105.0812,388.0
388,62.5,1.0,104.3956,389.0
389,71.42857142857143,1.0,125.4688,390.0
390,65.78947368421052,1.0,107.4568,391.0
391,64.1025641025641,0.9972,108.102,392.0
392,64.1025641025641,1.0,105.2816,393.0
393,65.78947368421052,0.9852,106.2504,394.0
394,67.56756756756756,1.0,115.8416,395.0
395,65.78947368421052,0.9956,114.0404,396.0
396,71.42857142857143,0.9832,125.816,397.0
397,67.56756756756756,1.0,115.6336,398.0
398,67.56756756756756,1.0,116.1444,399.0
399,64.1025641025641,1.0,107.988,400.0
400,64.1025641025641,0.99,105.0644,401.0
401,64.1025641025641,1.0,106.8656,402.0
402,67.56756756756756,1.0,119.2536,403.0
403,67.56756756756756,1.0,116.1012,404.0
404,67.56756756756756,1.0,117.3308,405.0
405,62.5,1.0,104.0816,406.0
406,64.1025641025641,1.0,106.3632,407.0
407,65.78947368421052,1.0,114.3232,408.0
408,64.1025641025641,0.9996,109.1148,409.0
409,67.56756756756756,1.0,118.2392,410.0
410,67.56756756756756,1.0,117.4552,411.0
411,65.78947368421052,1.0,115.8224,412.0
412,67.56756756756756,0.9916,120.8308,413.0
413,67.56756756756756,1.0,118.2016,414.0
414,65.78947368421052,1.0,115.026,415.0
415,67.56756756756756,1.0,116.9444,416.0
416,69.44444444444444,1.0,123.83,417.0
417,67.56756756756756,1.0,116.2,418.0
418,64.1025641025641,0.9848,110.1864,419.0
419,64.1025641025641,1.0,105.1644,420.0
420,60.97560975609756,0.9884,97.6016,421.0
421,65.78947368421052,1.0,110.6576,422.0
422,69.44444444444444,1.0,123.7392,423.0
423,62.5,1.0,104.692,424.0
424,62.5,1.0,98.7248,425.0
425,65.78947368421052,1.0,113.1088,426.0
426,69.44444444444444,1.0,128.8272,427.0
427,64.1025641025641,0.9844,105.2664,428.0
428,64.1025641025641,0.9856,109.2604,429.0
429,67.56756756756756,0.9964,117.3148,430.0
430,67.56756756756756,1.0,117.69,431.0
