,score,avg_moves,num_positivs
1149,0,34,0
1150,0,33,0
1151,0,24,0
1152,0,28,0
1153,0,22,0
1154,180,31,1
1155,0,28,0
1156,0,33,0
1157,180,42,1
1158,0,33,0
1159,0,21,0
1160,0,36,0
1161,0,23,0
1162,120,26,1
1163,40,42,1
1164,140,30,1
1165,520,56,1
1166,100,40,1
1167,180,42,1
1168,0,25,0
1169,0,30,0
1170,0,29,0
1171,80,37,1
1172,80,39,1
1173,0,26,0
1174,0,29,0
1175,0,29,0
1176,0,36,0
1177,40,35,1
1178,0,22,0
1179,0,41,0
1180,0,26,0
1181,0,27,0
1182,0,30,0
1183,0,22,0
1184,0,23,0
1185,0,29,0
1186,0,28,0
1187,120,44,1
1188,0,28,0
1189,300,47,1
1190,140,40,1
1191,0,23,0
1192,0,20,0
1193,0,26,0
1194,100,31,1
1195,0,26,0
1196,0,28,0
1197,0,24,0
1198,0,26,0
1199,360,56,1
1200,40,42,1
1201,40,35,1
1202,300,41,1
1203,80,41,1
1204,0,28,0
1205,360,57,1
1206,300,20,1
1207,340,44,1
1208,0,24,0
1209,0,37,0
1210,0,30,0
1211,0,33,0
1212,0,32,0
1213,0,28,0
1214,0,26,0
1215,320,48,1
1216,100,33,1
1217,0,26,0
1218,0,27,0
1219,280,44,1
1220,0,37,0
1221,0,23,0
1222,40,31,1
1223,40,31,1
1224,0,25,0
1225,320,53,1
1226,80,38,1
1227,0,24,0
1228,0,27,0
1229,120,42,1
1230,120,32,1
1231,0,29,0
1232,40,24,1
1233,80,37,1
1234,0,26,0
1235,120,42,1
1236,1380,40,1
1237,0,25,0
1238,120,40,1
1239,120,38,1
1240,0,33,0
1241,40,26,1
1242,0,26,0
1243,0,34,0
1244,300,42,1
1245,0,32,0
1246,100,38,1
1247,0,29,0
1248,120,43,1
1249,0,32,0
1250,0,26,0
1251,0,36,0
1252,100,39,1
1253,0,26,0
1254,300,28,1
1255,0,31,0
1256,340,42,1
1257,0,41,0
1258,100,43,1
1259,0,24,0
1260,40,38,1
1261,100,35,1
1262,0,39,0
1263,0,25,0
1264,0,17,0
1265,0,27,0
1266,0,29,0
1267,40,31,1
1268,120,38,1
1269,0,31,0
1270,1360,49,1
1271,0,32,0
1272,2560,71,1
1273,0,30,0
1274,0,32,0
1275,0,28,0
1276,840,59,1
1277,0,26,0
1278,0,22,0
1279,0,23,0
1280,100,36,1
1281,0,26,0
1282,0,34,0
1283,0,32,0
1284,0,28,0
1285,0,27,0
1286,300,39,1
1287,40,39,1
1288,300,41,1
1289,0,23,0
1290,0,27,0
1291,0,23,0
1292,120,25,1
1293,0,28,0
1294,0,23,0
1295,100,31,1
1296,140,42,1
1297,0,35,0
1298,0,34,0
1299,0,25,0
1300,0,26,0
1301,0,37,0
1302,40,33,1
1303,340,50,1
1304,0,27,0
1305,0,24,0
1306,0,39,0
1307,0,31,0
1308,0,31,0
1309,0,27,0
1310,0,22,0
1311,0,30,0
1312,120,36,1
1313,0,27,0
1314,40,38,1
1315,0,20,0
1316,0,24,0
1317,0,38,0
1318,0,21,0
1319,0,35,0
1320,0,37,0
1321,0,25,0
1322,0,34,0
1323,0,26,0
1324,0,23,0
1325,0,32,0
1326,0,25,0
1327,0,22,0
1328,0,25,0
1329,0,27,0
1330,40,28,1
1331,100,40,1
1332,200,40,1
1333,140,28,1
1334,0,20,0
1335,40,33,1
1336,0,22,0
1337,40,30,1
1338,0,21,0
1339,380,58,1
1340,80,42,1
1341,0,40,0
1342,380,40,1
1343,120,46,1
1344,120,42,1
1345,120,42,1
1346,120,42,1
1347,0,35,0
1348,0,22,0
1349,240,33,1
1350,0,26,0
1351,40,38,1
1352,0,24,0
1353,0,24,0
1354,40,33,1
1355,0,25,0
1356,0,33,0
1357,0,40,0
1358,0,39,0
1359,0,26,0
1360,120,31,1
1361,100,25,1
1362,0,33,0
1363,240,50,1
1364,0,32,0
1365,40,43,1
1366,0,32,0
1367,220,50,1
1368,0,22,0
1369,0,29,0
1370,0,26,0
1371,0,24,0
1372,0,23,0
1373,0,27,0
1374,40,39,1
1375,240,36,1
1376,80,32,1
1377,0,30,0
1378,0,38,0
1379,0,28,0
1380,300,45,1
1381,300,46,1
1382,40,28,1
1383,560,62,1
1384,0,24,0
1385,0,32,0
1386,100,33,1
1387,560,54,1
1388,0,34,0
1389,0,29,0
1390,0,26,0
1391,0,21,0
1392,40,43,1
1393,40,36,1
1394,0,27,0
1395,0,27,0
1396,0,29,0
1397,160,45,1
1398,0,26,0
1399,0,36,0
1400,160,42,1
1401,0,25,0
1402,200,45,1
1403,240,45,1
1404,0,37,0
1405,0,29,0
1406,460,51,1
1407,0,41,0
1408,480,58,1
1409,0,26,0
1410,0,27,0
1411,80,21,1
1412,0,24,0
1413,0,30,0
1414,0,35,0
1415,240,44,1
1416,0,33,0
1417,420,45,1
1418,0,25,0
1419,0,39,0
1420,100,45,1
1421,0,24,0
1422,140,48,1
1423,620,59,1
1424,340,30,1
1425,0,25,0
1426,120,40,1
1427,0,29,0
1428,100,35,1
1429,0,21,0
1430,0,21,0
1431,0,25,0
1432,0,23,0
1433,0,23,0
1434,160,42,1
1435,0,27,0
1436,0,26,0
1437,220,50,1
1438,220,50,1
1439,0,31,0
1440,0,26,0
1441,0,37,0
1442,0,33,0
1443,0,26,0
1444,0,26,0
1445,0,19,0
1446,380,37,1
1447,40,31,1
1448,40,25,1
1449,100,46,1
1450,0,36,0
1451,0,28,0
1452,0,27,0
1453,0,26,0
1454,140,31,1
1455,200,42,1
1456,80,35,1
1457,0,34,0
1458,0,29,0
1459,380,49,1
1460,40,37,1
1461,300,38,1
1462,40,35,1
1463,0,22,0
1464,0,30,0
1465,0,24,0
1466,160,46,1
1467,0,22,0
1468,0,29,0
1469,0,16,0
1470,0,24,0
1471,0,20,0
1472,0,28,0
1473,0,39,0
1474,80,33,1
1475,0,29,0
1476,0,30,0
1477,0,34,0
1478,0,28,0
1479,40,42,1
1480,0,37,0
1481,380,39,1
1482,0,29,0
1483,560,63,1
1484,0,26,0
1485,40,28,1
1486,0,27,0
1487,0,26,0
1488,0,21,0
1489,0,24,0
1490,0,21,0
1491,120,39,1
1492,420,55,1
1493,80,38,1
1494,0,29,0
1495,40,39,1
1496,0,26,0
1497,200,49,1
1498,0,23,0
1499,0,30,0
1500,0,30,0
1501,0,19,0
1502,0,32,0
1503,0,27,0
1504,100,44,1
1505,460,53,1
1506,0,37,0
1507,0,28,0
1508,0,24,0
1509,0,33,0
1510,140,43,1
1511,40,32,1
1512,0,24,0
1513,0,24,0
1514,0,34,0
1515,0,29,0
1516,0,31,0
1517,0,23,0
1518,0,34,0
1519,640,57,1
1520,0,30,0
1521,40,31,1
1522,40,32,1
1523,0,22,0
1524,0,27,0
1525,0,37,0
1526,0,34,0
1527,0,22,0
1528,0,37,0
1529,0,24,0
1530,0,23,0
1531,120,38,1
1532,0,26,0
1533,0,24,0
1534,80,39,1
1535,540,49,1
1536,0,25,0
1537,100,43,1
1538,0,27,0
1539,0,20,0
1540,200,48,1
1541,0,22,0
1542,0,16,0
1543,0,25,0
1544,40,26,1
1545,0,28,0
1546,0,29,0
1547,0,34,0
1548,0,29,0
1549,0,27,0
1550,40,37,1
1551,140,40,1
1552,120,43,1
1553,240,45,1
1554,480,65,1
1555,0,25,0
1556,0,34,0
1557,0,26,0
1558,0,31,0
1559,0,19,0
1560,0,30,0
1561,0,35,0
1562,0,23,0
1563,0,23,0
1564,120,40,1
1565,0,23,0
1566,0,29,0
1567,0,32,0
1568,320,47,1
1569,0,32,0
1570,120,41,1
1571,1480,60,1
1572,180,45,1
1573,0,22,0
1574,40,29,1
1575,40,37,1
1576,0,37,0
1577,0,38,0
1578,0,24,0
1579,80,39,1
1580,480,56,1
1581,0,23,0
1582,0,23,0
1583,40,42,1
1584,0,28,0
1585,40,42,1
1586,140,45,1
1587,0,26,0
1588,0,36,0
1589,0,25,0
1590,0,23,0
1591,0,28,0
1592,0,20,0
1593,120,41,1
1594,0,24,0
1595,0,38,0
1596,0,28,0
1597,0,22,0
1598,0,26,0
1599,260,55,1
1600,100,43,1
1601,220,49,1
1602,320,51,1
1603,0,23,0
1604,0,27,0
1605,0,28,0
1606,0,25,0
1607,140,48,1
1608,300,24,1
1609,0,23,0
1610,0,32,0
1611,0,26,0
1612,0,33,0
1613,0,35,0
1614,80,43,1
1615,0,21,0
1616,0,25,0
1617,0,32,0
1618,40,32,1
1619,0,27,0
1620,40,36,1
1621,40,41,1
1622,0,24,0
1623,0,30,0
1624,0,27,0
1625,0,25,0
1626,0,27,0
1627,1380,54,1
1628,0,35,0
1629,0,26,0
1630,0,28,0
1631,480,39,1
1632,140,36,1
1633,0,28,0
1634,140,23,1
1635,140,32,1
1636,0,28,0
1637,40,33,1
1638,160,49,1
1639,80,40,1
1640,0,31,0
1641,220,47,1
1642,40,30,1
1643,0,38,0
1644,0,22,0
1645,120,33,1
1646,0,29,0
1647,0,38,0
1648,0,25,0
1649,160,44,1
1650,0,26,0
1651,420,51,1
1652,0,25,0
1653,40,37,1
1654,100,39,1
1655,0,30,0
1656,0,25,0
1657,0,37,0
