,score,avg_moves,num_positivs,reward
9542,200,50,1,1001.0
9543,520,66,1,5023.0
9544,320,54,1,2673.0
9545,200,46,1,1085.0
9546,220,50,1,1405.0
9547,200,53,1,945.0
9548,200,40,1,1332.0
9549,120,40,1,-3.0
9550,160,39,1,-139.0
9551,200,46,1,1141.0
9552,80,42,1,-629.0
9553,80,41,1,-897.0
9554,160,46,1,316.0
9555,120,44,1,-1240.0
9556,280,57,1,1923.0
9557,240,52,1,1238.0
9558,160,45,1,670.0
9559,80,38,1,-282.0
9560,200,52,1,839.0
9561,400,60,1,3635.0
9562,320,57,1,1761.0
9563,120,45,1,391.0
9564,280,49,1,2623.0
9565,160,38,1,982.0
9566,160,44,1,590.0
9567,120,44,1,-239.0
9568,120,41,1,-186.0
9569,340,55,1,2097.0
9570,160,45,1,-111.0
9571,120,37,1,301.0
9572,40,39,1,-1721.0
9573,280,52,1,1535.0
9574,120,38,1,166.0
9575,120,42,1,75.0
9576,160,45,1,478.0
9577,80,36,1,-1179.0
9578,160,46,1,666.0
9579,80,45,1,-352.0
9580,400,59,1,3673.0
9581,360,60,1,2771.0
9582,240,36,1,2627.0
9583,280,53,1,1354.0
9584,80,42,1,-1455.0
9585,440,59,1,4711.0
9586,260,49,1,1566.0
9587,200,51,1,1374.0
9588,200,47,1,767.0
9589,80,41,1,-499.0
9590,100,39,1,-114.0
9591,80,38,1,-955.0
9592,120,48,1,38.0
9593,180,49,1,549.0
9594,200,42,1,-143.0
9595,80,39,1,-731.0
9596,280,49,1,2516.0
9597,120,46,1,-715.0
9598,300,51,1,1499.0
9599,200,50,1,607.0
9600,0,33,0,-1495.0
9601,280,53,1,1628.0
9602,220,51,1,719.0
9603,0,26,0,-1123.0
9604,120,45,1,-414.0
9605,120,47,1,38.0
9606,200,44,1,1372.0
9607,600,75,1,7298.0
9608,160,46,1,196.0
9609,0,36,0,-1893.0
9610,380,61,1,3470.0
9611,160,44,1,444.0
9612,280,54,1,2267.0
9613,260,54,1,1858.0
9614,320,57,1,2359.0
9615,220,48,1,1357.0
9616,40,31,1,-879.0
9617,320,60,1,3299.0
9618,140,37,1,85.0
9619,500,68,1,4760.0
9620,360,57,1,2437.0
9621,280,49,1,3024.0
9622,160,46,1,367.0
9623,220,51,1,374.0
9624,260,55,1,1351.0
9625,160,49,1,70.0
9626,340,51,1,2902.0
9627,80,35,1,169.0
9628,120,38,1,486.0
9629,120,44,1,85.0
9630,120,47,1,-67.0
9631,160,47,1,-26.0
9632,360,56,1,3640.0
9633,200,43,1,1355.0
9634,300,53,1,2126.0
9635,40,43,1,-1499.0
9636,200,48,1,1182.0
9637,300,53,1,1543.0
9638,160,42,1,562.0
9639,400,63,1,4064.0
9640,160,43,1,677.0
9641,40,41,1,-1842.0
9642,0,39,0,-2480.0
9643,120,44,1,-649.0
9644,240,52,1,2019.0
9645,40,33,1,-1434.0
9646,260,40,1,2199.0
9647,200,48,1,967.0
9648,240,48,1,1474.0
9649,160,47,1,944.0
9650,120,39,1,-343.0
9651,160,40,1,1215.0
9652,360,62,1,3875.0
9653,340,58,1,2466.0
9654,120,42,1,407.0
9655,300,52,1,2209.0
9656,160,43,1,-30.0
9657,40,33,1,-2727.0
9658,160,43,1,343.0
9659,300,54,1,2436.0
9660,160,42,1,77.0
9661,80,36,1,-422.0
9662,120,46,1,-1072.0
9663,240,51,1,1930.0
9664,160,49,1,298.0
9665,160,49,1,692.0
9666,80,46,1,-378.0
9667,160,42,1,423.0
9668,80,40,1,-1373.0
9669,540,66,1,6251.0
9670,200,45,1,1012.0
9671,320,57,1,2884.0
9672,180,43,1,-77.0
9673,220,48,1,960.0
9674,220,52,1,980.0
9675,200,51,1,534.0
9676,160,46,1,335.0
